TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612742,Dallas Mavericks,55,26,29,0.473,230.093333,152,361,0.421,55,194,0.284,124,171,0.725,41,144,185,82,48.0,22,22,12,126,133,483,3.0,1,5,29,16,1,4,1,21,1,1,23,4,2,25,11,1,3,2,22,10,7,5,29,1,4,15,2022-23
1610612743,Denver Nuggets,37,22,15,0.595,141.671667,99,223,0.444,33,97,0.34,95,135,0.704,29,92,121,62,39.0,20,22,12,64,87,326,35.0,22,14,3,5,24,24,25,9,15,17,9,15,8,28,25,22,24,16,10,15,7,5,3,13,22,5,2022-23
1610612765,Detroit Pistons,37,11,26,0.297,143.596667,85,225,0.378,36,102,0.353,88,116,0.759,35,85,120,48,31.0,14,10,20,101,72,294,-78.0,22,29,26,30,23,27,24,30,12,14,7,19,21,20,19,26,25,26,2,24,25,22,22,28,27,30,2022-23
1610612744,Golden State Warriors,41,20,21,0.488,172.53,125,315,0.397,53,166,0.319,64,82,0.78,52,138,190,79,52.0,22,25,23,92,77,367,-7.0,17,17,13,15,10,11,7,28,2,2,15,29,29,15,3,3,2,3,25,10,1,26,17,24,14,18,2022-23
1610612745,Houston Rockets,40,16,24,0.4,132.346667,79,204,0.387,19,67,0.284,88,130,0.677,35,104,139,40,53.0,21,17,19,69,85,265,-34.0,19,25,23,25,27,29,28,29,28,28,22,19,10,30,19,16,18,29,28,13,17,19,5,20,29,24,2022-23
1610612754,Indiana Pacers,48,25,23,0.521,165.401667,117,280,0.418,38,128,0.297,104,126,0.825,37,104,141,61,39.0,20,22,25,106,80,376,-24.0,4,6,19,13,15,17,15,24,11,6,20,8,13,4,17,16,17,17,10,15,7,28,25,22,13,21,2022-23
1610612746,LA Clippers,42,22,20,0.524,139.961667,116,237,0.489,27,83,0.325,92,114,0.807,25,95,120,65,36.0,15,13,9,69,77,351,20.0,16,14,10,11,25,18,21,4,21,26,13,16,22,7,28,20,25,13,6,23,23,2,5,24,17,11,2022-23
1610612747,Los Angeles Lakers,44,23,21,0.523,172.368333,143,314,0.455,33,108,0.306,100,136,0.735,43,107,150,72,19.0,21,15,18,92,98,419,26.0,9,11,13,12,11,5,8,7,15,11,18,12,7,23,10,13,12,8,1,13,19,16,17,8,6,8,2022-23
1610612763,Memphis Grizzlies,36,21,15,0.583,109.701667,84,191,0.44,16,61,0.262,103,134,0.769,41,69,110,45,32.0,11,7,12,58,86,287,12.0,26,16,3,7,30,28,29,13,30,29,28,10,9,19,11,29,28,27,4,29,29,5,1,17,28,13,2022-23
1610612748,Miami Heat,54,32,22,0.593,213.616667,161,352,0.457,43,135,0.319,138,167,0.826,39,136,175,76,48.0,37,23,13,105,121,503,69.0,2,1,17,6,2,2,2,5,4,4,16,1,3,3,14,4,5,6,22,1,5,9,24,3,2,2,2022-23
